Oxymax CSV File 

CSV Generation Date,3/28/2022 10:02:55 AM 
Experiment Started,3/25/2022 7:15:34 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-25 B6 Temp Decline 15c.CDTA

Group/Cage,0104
O2 Calibration Date,3/27/2022 7:06:03 AM
CO2 Calibration Date,3/28/2022 8:47:10 AM
Subject ID,8-2
Subject Mass (G), 27.6 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,3/25/2022 7:17:18 AM ,4666,20.908,20.677,0.230,0.0,4141,0.057,0.267,0.209,0.0,0.887,22.9,0.910,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,74,29,133,69,2,0,0.0,0.0,49.4,21.2,19.8,17.8,0,0,100,
2,0104,3/25/2022 7:22:58 AM ,4615,20.908,20.681,0.226,0.0,3961,0.062,0.262,0.200,0.0,0.858,22.5,0.911,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,329,146,471,259,0,0,0.0,0.0,49.6,20.8,18.1,15.0,0,0,100,
3,0104,3/25/2022 7:28:38 AM ,4860,20.908,20.669,0.238,0.0,4148,0.061,0.271,0.210,0.0,0.854,23.7,0.910,75.00,UNSTABLE / OPEN,0.04,0.04,0.000,0.000,426,168,544,265,10,0,0.0,0.0,50.6,20.2,16.9,15.0,0,0,100,
4,0104,3/25/2022 7:34:18 AM ,4726,20.908,20.676,0.231,0.0,3997,0.060,0.262,0.202,0.0,0.846,23.0,0.910,75.00,STABLE / OPEN,0.41,0.44,0.000,0.000,206,4,293,38,0,0,0.0,0.0,50.9,19.6,15.9,15.0,0,0,100,
5,0104,3/25/2022 7:39:58 AM ,4665,20.908,20.680,0.227,0.0,3898,0.058,0.255,0.197,0.0,0.836,22.6,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,28,0,155,3,0,0,0.0,0.0,51.2,18.8,15.5,15.0,0,0,100,
6,0104,3/25/2022 7:45:38 AM ,4423,20.908,20.694,0.214,0.1,3531,0.057,0.235,0.178,0.1,0.798,21.2,0.912,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,0,0,23,0,0,0,0.0,0.0,50.9,18.2,15.5,15.0,0,0,100,
7,0104,3/25/2022 7:51:18 AM ,4442,20.908,20.694,0.214,0.1,3452,0.057,0.231,0.174,0.1,0.777,21.2,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,982,13,26,1,0,0,0.0,0.0,50.7,17.8,15.6,15.0,0,0,100,
8,0104,3/25/2022 7:56:58 AM ,4414,20.908,20.696,0.211,0.1,3318,0.056,0.223,0.167,0.1,0.752,20.9,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,2,1,35,0,0,0,0.0,0.0,50.3,17.4,15.7,15.0,0,0,100,
9,0104,3/25/2022 8:02:38 AM ,4493,20.908,20.692,0.215,0.1,3413,0.055,0.228,0.172,0.1,0.760,21.3,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,57,2,0,0,0,0,0.0,0.0,50.1,17.1,15.7,15.0,0,0,100,
10,0104,3/25/2022 8:08:18 AM ,4462,20.908,20.695,0.213,0.1,3271,0.056,0.221,0.165,0.1,0.733,21.1,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,85,0,21,1,0,0,0.0,0.0,49.8,17.0,15.8,15.0,0,0,100,
11,0104,3/25/2022 8:13:58 AM ,4401,20.908,20.697,0.210,0.1,3252,0.055,0.219,0.164,0.1,0.739,20.8,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,3,0,50,2,0,0,0.0,0.0,49.5,16.8,15.7,15.0,0,0,100,
12,0104,3/25/2022 8:19:38 AM ,4543,20.908,20.690,0.218,0.1,3434,0.054,0.228,0.173,0.1,0.756,21.6,0.911,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,544,0,0,0,0,0,0.0,0.0,49.2,16.7,15.7,15.0,0,0,100,
13,0104,3/25/2022 8:25:18 AM ,4502,20.908,20.691,0.217,0.1,3421,0.054,0.227,0.173,0.1,0.760,21.4,0.908,75.00,STABLE / OPEN,0.00,0.44,0.000,0.000,9,1,6,0,0,0,0.0,0.0,48.9,16.6,15.7,15.0,0,0,100,
14,0104,3/25/2022 8:30:58 AM ,5479,20.908,20.643,0.265,0.2,4328,0.054,0.272,0.219,0.1,0.790,26.2,0.911,75.00,UNSTABLE / OPEN,0.00,0.44,0.000,0.000,515,59,289,86,3,0,0.0,0.0,49.6,16.6,15.6,15.0,0,0,100,
15,0104,3/25/2022 8:36:38 AM ,5728,20.908,20.632,0.276,0.2,4480,0.054,0.280,0.226,0.1,0.782,27.4,0.912,75.00,STABLE / OPEN,0.07,0.52,0.000,0.000,311,121,424,237,4,0,0.0,0.0,50.4,16.5,15.5,15.0,0,0,100,
16,0104,3/25/2022 8:42:18 AM ,5727,20.908,20.629,0.278,0.2,4611,0.053,0.287,0.233,0.1,0.805,27.5,0.909,75.00,STABLE / OPEN,0.00,0.52,0.000,0.000,577,268,633,370,3,0,0.0,0.0,50.0,16.5,15.4,15.0,0,0,100,
17,0104,3/25/2022 8:47:58 AM ,5692,20.908,20.631,0.277,0.2,4639,0.054,0.288,0.234,0.2,0.815,27.4,0.910,75.00,STABLE / OPEN,0.00,0.52,0.000,0.000,279,108,449,207,16,0,0.0,0.0,50.9,16.5,15.3,15.0,0,0,100,
18,0104,3/25/2022 8:53:38 AM ,4948,20.908,20.668,0.240,0.2,3946,0.054,0.253,0.200,0.2,0.798,23.7,0.909,75.00,STABLE / OPEN,0.00,0.52,0.000,0.000,148,0,172,3,0,0,0.0,0.0,50.7,16.4,15.1,15.0,0,0,100,
19,0104,3/25/2022 8:59:18 AM ,4715,20.908,20.679,0.229,0.2,3775,0.053,0.244,0.191,0.2,0.801,22.6,0.909,75.00,STABLE / OPEN,0.00,0.52,0.000,0.000,485,0,262,12,0,0,0.0,0.0,50.5,16.4,15.2,15.0,0,0,100,
20,0104,3/25/2022 9:04:58 AM ,4405,20.908,20.696,0.212,0.2,3386,0.054,0.225,0.171,0.2,0.769,21.0,0.910,75.00,STABLE / OPEN,0.03,0.55,0.000,0.000,0,0,100,1,0,0,0.0,0.0,50.3,16.4,15.2,15.0,0,0,100,
21,0104,3/25/2022 9:10:38 AM ,4290,20.908,20.702,0.205,0.2,3210,0.054,0.216,0.162,0.2,0.748,20.3,0.911,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,4,0,131,2,0,0,0.0,0.0,50.1,16.4,15.4,15.0,0,0,100,
22,0104,3/25/2022 9:16:18 AM ,4401,20.908,20.697,0.211,0.3,3326,0.053,0.221,0.168,0.2,0.756,20.9,0.911,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,0,0,82,8,0,0,0.0,0.0,50.0,16.4,15.5,15.0,0,0,100,
23,0104,3/25/2022 9:21:58 AM ,4491,20.908,20.692,0.215,0.3,3376,0.053,0.224,0.171,0.2,0.752,21.3,0.911,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,243,0,151,39,0,0,0.0,0.0,49.8,16.3,15.7,15.0,0,0,100,
24,0104,3/25/2022 9:27:38 AM ,4681,20.908,20.683,0.224,0.3,3550,0.053,0.232,0.179,0.2,0.758,22.2,0.911,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,23,0,101,9,0,0,0.0,0.0,49.7,16.3,15.7,15.0,0,0,100,
25,0104,3/25/2022 9:33:18 AM ,4590,20.908,20.687,0.221,0.3,3528,0.053,0.231,0.178,0.2,0.769,21.9,0.909,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,283,0,209,15,0,0,0.0,0.0,49.5,16.3,15.6,15.0,0,0,100,
26,0104,3/25/2022 9:38:58 AM ,4309,20.908,20.701,0.207,0.3,3242,0.052,0.216,0.164,0.2,0.752,20.4,0.909,75.00,STABLE / OPEN,0.00,0.55,0.000,0.000,164,0,5,1,0,0,0.0,0.0,49.4,16.3,15.5,15.0,0,0,100,
27,0104,3/25/2022 9:44:38 AM ,4713,20.908,20.681,0.226,0.3,3597,0.053,0.235,0.182,0.3,0.763,22.4,0.910,75.00,UNSTABLE / OPEN,0.00,0.55,0.000,0.000,1255,15,143,30,0,0,0.0,0.0,49.7,16.3,15.4,15.0,0,0,100,
28,0104,3/25/2022 9:50:18 AM ,5592,20.908,20.636,0.272,0.3,4536,0.051,0.280,0.229,0.3,0.811,26.9,0.910,75.00,UNSTABLE / OPEN,0.00,0.55,0.000,0.000,5,0,111,19,0,0,0.0,0.0,49.8,16.3,15.3,15.0,0,0,100,
29,0104,3/25/2022 9:55:58 AM ,5789,20.908,20.625,0.282,0.3,4778,0.053,0.294,0.242,0.3,0.825,28.0,0.910,75.00,UNSTABLE / OPEN,0.13,0.68,0.000,0.000,185,55,260,74,5,0,0.0,0.0,49.9,16.3,15.2,15.0,0,0,100,
30,0104,3/25/2022 10:01:38 AM ,5693,20.908,20.628,0.279,0.4,4871,0.052,0.298,0.246,0.3,0.856,27.7,0.909,75.00,STABLE / OPEN,0.49,1.16,0.034,0.034,285,120,385,189,1,0,0.0,0.0,49.9,16.3,15.1,15.0,0,0,100,
31,0104,3/25/2022 10:07:18 AM ,5818,20.908,20.621,0.286,0.4,5021,0.052,0.307,0.254,0.3,0.863,28.4,0.908,75.00,STABLE / OPEN,0.00,1.16,0.091,0.125,435,229,709,440,25,0,0.0,0.0,49.8,16.3,15.2,15.0,0,0,100,
32,0104,3/25/2022 10:12:58 AM ,5842,20.908,20.620,0.287,0.4,5042,0.053,0.308,0.255,0.3,0.863,28.5,0.908,75.00,UNSTABLE / OPEN,0.00,1.16,0.056,0.181,480,194,689,420,18,0,0.0,0.0,49.8,16.3,15.3,15.0,0,0,100,
33,0104,3/25/2022 10:18:38 AM ,5814,20.908,20.621,0.286,0.4,5086,0.052,0.309,0.257,0.3,0.875,28.4,0.910,75.00,STABLE / OPEN,0.00,1.16,0.222,0.404,521,189,678,444,1,0,0.0,0.0,49.8,16.3,15.3,15.0,0,0,100,
34,0104,3/25/2022 10:24:18 AM ,5527,20.908,20.636,0.271,0.4,4733,0.052,0.291,0.239,0.3,0.856,26.9,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,828,91,307,126,1,0,0.0,0.0,51.0,16.3,15.5,15.0,0,0,100,
35,0104,3/25/2022 10:29:58 AM ,4824,20.908,20.671,0.236,0.4,4074,0.050,0.257,0.206,0.4,0.845,23.4,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,16,0,3,1,0,0,0.0,0.0,50.7,16.3,15.7,15.0,0,0,100,
36,0104,3/25/2022 10:35:38 AM ,4539,20.908,20.687,0.221,0.4,3692,0.052,0.239,0.187,0.4,0.813,21.9,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,4,0,1,0,0,0,0.0,0.0,50.6,16.3,15.7,15.0,0,0,100,
37,0104,3/25/2022 10:41:18 AM ,4336,20.908,20.697,0.210,0.5,3480,0.052,0.228,0.176,0.4,0.803,20.8,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,26,0,4,1,0,0,0.0,0.0,50.5,16.3,15.7,15.0,0,0,100,
38,0104,3/25/2022 10:46:58 AM ,4823,20.908,20.672,0.235,0.5,3969,0.052,0.253,0.201,0.4,0.823,23.3,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,64,10,38,11,0,0,0.0,0.0,50.5,16.3,15.6,15.0,0,0,100,
39,0104,3/25/2022 10:52:38 AM ,4554,20.908,20.687,0.221,0.5,3639,0.052,0.236,0.184,0.4,0.799,21.9,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.404,5,0,22,2,0,0,0.0,0.0,50.5,16.3,15.4,15.0,0,0,100,
40,0104,3/25/2022 10:58:18 AM ,4087,20.908,20.709,0.198,0.5,3283,0.052,0.218,0.166,0.4,0.803,19.6,0.909,75.00,STABLE / OPEN,0.00,1.16,0.085,0.489,0,0,3,0,0,0,0.0,0.0,50.2,16.3,15.3,15.0,0,0,100,
41,0104,3/25/2022 11:03:58 AM ,4044,20.908,20.710,0.198,0.5,3340,0.053,0.222,0.169,0.4,0.826,19.5,0.907,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,7,0,0,0,0,0,0.0,0.0,50.0,16.3,15.2,15.0,0,0,100,
42,0104,3/25/2022 11:09:38 AM ,4137,20.908,20.705,0.202,0.5,3468,0.052,0.228,0.175,0.4,0.838,20.1,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,4,0,0,0,0,0,0.0,0.0,50.0,16.3,15.2,15.0,0,0,100,
43,0104,3/25/2022 11:15:18 AM ,4161,20.908,20.705,0.202,0.5,3401,0.052,0.224,0.172,0.4,0.817,20.1,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,0,0,0,0,0,0,0.0,0.0,49.9,16.3,15.3,15.0,0,0,100,
44,0104,3/25/2022 11:20:58 AM ,4285,20.908,20.699,0.209,0.5,3525,0.052,0.231,0.178,0.4,0.823,20.7,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,25,0,0,0,0,0,0.0,0.0,49.8,16.2,15.5,15.0,0,0,100,
45,0104,3/25/2022 11:26:38 AM ,4204,20.908,20.703,0.205,0.6,3486,0.052,0.228,0.176,0.4,0.829,20.3,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,97,0,0,0,0,0,0.0,0.0,49.6,16.3,15.6,15.0,0,0,100,
46,0104,3/25/2022 11:32:18 AM ,4219,20.908,20.702,0.205,0.6,3423,0.052,0.225,0.173,0.5,0.811,20.3,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,47,0,0,0,0,0,0.0,0.0,49.5,16.2,15.8,15.0,0,0,100,
47,0104,3/25/2022 11:37:58 AM ,4100,20.908,20.708,0.199,0.6,3357,0.052,0.222,0.170,0.5,0.819,19.8,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,73,2,0,0,0,0,0.0,0.0,49.4,16.3,15.6,15.0,0,0,100,
48,0104,3/25/2022 11:43:38 AM ,4198,20.908,20.703,0.204,0.6,3424,0.052,0.225,0.173,0.5,0.816,20.2,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,42,5,6,1,0,0,0.0,0.0,49.3,16.3,15.6,15.0,0,0,100,
49,0104,3/25/2022 11:49:18 AM ,4153,20.908,20.706,0.202,0.6,3367,0.052,0.222,0.170,0.5,0.811,20.0,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,55,4,62,1,0,0,0.0,0.0,49.3,16.3,15.4,15.0,0,0,100,
50,0104,3/25/2022 11:54:58 AM ,4242,20.908,20.701,0.207,0.6,3505,0.052,0.229,0.177,0.5,0.826,20.5,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,292,20,83,1,0,0,0.0,0.0,49.4,16.3,15.3,15.0,0,0,100,
51,0104,3/25/2022 12:00:38 PM ,4212,20.908,20.702,0.205,0.6,3458,0.050,0.225,0.175,0.5,0.821,20.3,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,3976,0,0,0,0,0,0.0,0.0,49.2,16.3,15.1,15.0,0,0,100,
52,0104,3/25/2022 12:06:18 PM ,4168,20.908,20.705,0.202,0.6,3341,0.051,0.221,0.169,0.5,0.802,20.0,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,1978,0,3,0,0,0,0.0,0.0,49.1,16.3,15.3,15.0,0,0,100,
53,0104,3/25/2022 12:11:58 PM ,4376,20.908,20.695,0.213,0.6,3538,0.052,0.231,0.179,0.5,0.809,21.1,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,1732,1,10,0,0,0,0.0,0.0,49.1,16.3,15.5,15.0,0,0,100,
54,0104,3/25/2022 12:17:38 PM ,4665,20.908,20.681,0.227,0.6,3846,0.052,0.246,0.194,0.5,0.824,22.5,0.911,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,229,2,52,4,0,0,0.0,0.0,49.1,16.2,15.6,15.0,0,0,100,
55,0104,3/25/2022 12:23:18 PM ,5387,20.908,20.643,0.264,0.7,4614,0.050,0.284,0.233,0.5,0.856,26.2,0.909,75.00,UNSTABLE / OPEN,0.00,1.16,0.000,0.489,479,62,355,103,0,0,0.0,0.0,49.8,16.3,15.7,15.0,0,0,100,
56,0104,3/25/2022 12:28:58 PM ,5805,20.908,20.623,0.285,0.7,4966,0.051,0.302,0.251,0.5,0.856,28.3,0.909,75.00,UNSTABLE / OPEN,0.00,1.16,0.000,0.489,257,104,509,239,13,0,0.0,0.0,50.1,16.3,15.6,15.0,0,0,100,
57,0104,3/25/2022 12:34:38 PM ,5709,20.908,20.628,0.279,0.7,4860,0.051,0.296,0.245,0.6,0.851,27.8,0.911,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,844,82,337,92,9,0,0.0,0.0,49.6,16.4,15.6,15.0,0,0,100,
58,0104,3/25/2022 12:40:18 PM ,4695,20.908,20.678,0.229,0.7,3896,0.051,0.248,0.197,0.6,0.830,22.7,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,11,0,19,0,0,0,0.0,0.0,49.2,16.3,15.4,15.0,0,0,100,
59,0104,3/25/2022 12:45:58 PM ,4443,20.908,20.691,0.216,0.7,3657,0.052,0.237,0.185,0.6,0.823,21.5,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.489,16,0,7,0,0,0,0.0,0.0,49.0,16.3,15.3,15.0,0,0,100,
60,0104,3/25/2022 12:51:38 PM ,4207,20.908,20.703,0.204,0.7,3412,0.052,0.224,0.173,0.6,0.811,20.3,0.910,75.00,STABLE / OPEN,0.00,1.16,0.137,0.626,120,0,18,0,0,0,0.0,0.0,48.8,16.3,15.3,15.0,0,0,100,
61,0104,3/25/2022 12:57:18 PM ,4232,20.908,20.702,0.205,0.7,3384,0.051,0.223,0.171,0.6,0.800,20.3,0.909,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,52,0,8,3,0,0,0.0,0.0,48.7,16.3,15.3,15.0,0,0,100,
62,0104,3/25/2022 1:02:58 PM ,4018,20.908,20.713,0.195,0.8,3200,0.052,0.214,0.162,0.6,0.796,19.3,0.910,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,1342,0,6,2,0,0,0.0,0.0,48.6,16.3,15.2,15.0,0,0,100,
63,0104,3/25/2022 1:08:38 PM ,4172,20.908,20.706,0.202,0.8,3284,0.052,0.218,0.166,0.6,0.787,20.0,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,0,0,0,0,0,0,0.0,0.0,48.5,16.3,15.2,15.0,0,0,100,
64,0104,3/25/2022 1:14:18 PM ,4500,20.908,20.689,0.219,0.8,3633,0.052,0.236,0.184,0.6,0.807,21.6,0.908,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,12,0,37,2,0,0,0.0,0.0,48.6,16.3,15.5,15.0,0,0,100,
65,0104,3/25/2022 1:19:58 PM ,4936,20.908,20.668,0.240,0.8,4029,0.051,0.254,0.203,0.6,0.816,23.8,0.911,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,436,3,64,1,0,0,0.0,0.0,48.6,16.3,15.6,15.0,0,0,100,
66,0104,3/25/2022 1:25:38 PM ,4658,20.908,20.681,0.227,0.8,3836,0.051,0.245,0.194,0.6,0.823,22.5,0.911,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,0,0,19,0,0,0,0.0,0.0,48.4,16.3,15.7,15.0,0,0,100,
67,0104,3/25/2022 1:31:18 PM ,4450,20.908,20.691,0.216,0.8,3685,0.052,0.238,0.186,0.7,0.828,21.5,0.912,75.00,STABLE / OPEN,0.00,1.16,0.000,0.626,11,2,47,1,0,0,0.0,0.0,48.3,16.3,15.7,15.0,0,0,100,
68,0104,3/25/2022 1:36:58 PM ,5357,20.908,20.646,0.261,0.8,4476,0.052,0.278,0.226,0.7,0.836,25.9,0.911,75.00,UNSTABLE / OPEN,0.00,1.16,0.000,0.626,169,13,289,85,4,0,0.0,0.0,49.0,16.3,15.6,15.0,0,0,100,
69,0104,3/25/2022 1:42:38 PM ,4948,20.908,20.665,0.242,0.8,4150,0.051,0.261,0.210,0.7,0.839,24.0,0.908,75.00,STABLE / OPEN,0.11,1.27,0.000,0.626,243,7,168,28,2,0,0.0,0.0,48.8,16.3,15.6,15.0,0,0,100,
70,0104,3/25/2022 1:48:18 PM ,4492,20.908,20.689,0.219,0.8,3709,0.052,0.239,0.187,0.7,0.826,21.7,0.910,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,418,0,5,0,0,0,0.0,0.0,48.5,16.3,15.3,15.0,0,0,100,
71,0104,3/25/2022 1:53:58 PM ,4490,20.908,20.688,0.219,0.9,3768,0.052,0.243,0.191,0.7,0.839,21.8,0.909,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,528,2,23,4,0,0,0.0,0.0,48.4,16.3,15.2,15.0,0,0,100,
72,0104,3/25/2022 1:59:38 PM ,4079,20.908,20.709,0.198,0.9,3327,0.052,0.220,0.168,0.7,0.816,19.7,0.909,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,175,1,22,0,0,0,0.0,0.0,48.3,16.3,15.2,15.0,0,0,100,
73,0104,3/25/2022 2:05:18 PM ,3945,20.908,20.716,0.191,0.9,3166,0.051,0.212,0.160,0.7,0.803,19.0,0.909,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,243,0,27,0,0,0,0.0,0.0,48.1,16.3,15.2,15.0,0,0,100,
74,0104,3/25/2022 2:10:58 PM ,3801,20.908,20.723,0.184,0.9,3039,0.051,0.205,0.154,0.7,0.800,18.2,0.909,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,77,0,58,0,0,0,0.0,0.0,48.1,16.3,15.2,15.0,0,0,100,
75,0104,3/25/2022 2:16:38 PM ,4362,20.908,20.695,0.213,0.9,3660,0.051,0.235,0.185,0.7,0.839,21.1,0.911,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,2468,1,30,3,0,0,0.0,0.0,48.1,16.3,15.5,15.0,0,0,100,
76,0104,3/25/2022 2:22:18 PM ,4380,20.908,20.695,0.213,0.9,3565,0.050,0.230,0.180,0.7,0.814,21.1,0.911,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,806,0,46,0,0,0,0.0,0.0,48.0,16.2,15.6,15.0,0,0,100,
77,0104,3/25/2022 2:27:58 PM ,4297,20.908,20.699,0.209,0.9,3462,0.052,0.227,0.175,0.8,0.806,20.7,0.908,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,69,0,65,0,0,0,0.0,0.0,47.9,16.3,15.7,15.0,0,0,100,
78,0104,3/25/2022 2:33:38 PM ,4448,20.908,20.692,0.215,0.9,3542,0.051,0.230,0.179,0.8,0.796,21.3,0.911,75.00,STABLE / OPEN,0.00,1.27,0.000,0.626,257,0,67,2,0,0,0.0,0.0,47.9,16.3,15.7,15.0,0,0,100,
79,0104,3/25/2022 2:39:18 PM ,5333,20.908,20.647,0.261,0.9,4508,0.050,0.278,0.228,0.8,0.845,25.9,0.910,75.00,UNSTABLE / OPEN,0.00,1.27,0.000,0.626,93,17,173,40,3,0,0.0,0.0,48.6,16.3,15.6,15.0,0,0,100,
80,0104,3/25/2022 2:44:58 PM ,5949,20.908,20.616,0.291,1.0,5087,0.052,0.309,0.257,0.8,0.855,29.0,0.911,75.00,UNSTABLE / OPEN,0.15,1.42,0.000,0.626,780,206,669,426,14,0,0.0,0.0,49.8,16.3,15.6,15.0,0,0,100,
81,0104,3/25/2022 2:50:38 PM ,5085,20.908,20.659,0.248,1.0,4247,0.052,0.267,0.215,0.8,0.835,24.6,0.910,75.00,STABLE / OPEN,0.00,1.42,0.191,0.817,1109,1,82,10,0,0,0.0,0.0,49.6,16.3,15.4,15.0,0,0,100,
82,0104,3/25/2022 2:56:18 PM ,4412,20.908,20.692,0.216,1.0,3683,0.052,0.239,0.186,0.8,0.835,21.4,0.909,75.00,STABLE / OPEN,0.00,1.42,0.000,0.817,42,2,27,0,0,0,0.0,0.0,49.5,16.3,15.4,15.0,0,0,100,
83,0104,3/25/2022 3:01:58 PM ,4110,20.908,20.706,0.201,1.0,3497,0.052,0.229,0.177,0.8,0.851,20.0,0.909,75.00,STABLE / OPEN,0.00,1.42,0.000,0.817,457,1,172,0,0,0,0.0,0.0,49.5,16.3,15.2,15.0,0,0,100,
84,0104,3/25/2022 3:07:38 PM ,3825,20.908,20.720,0.188,1.0,3288,0.052,0.218,0.166,0.8,0.860,18.6,0.910,75.00,STABLE / OPEN,0.06,1.48,0.000,0.817,104,0,3,0,0,0,0.0,0.0,49.4,16.3,15.2,15.0,0,0,100,
85,0104,3/25/2022 3:13:18 PM ,4012,20.908,20.711,0.196,1.0,3369,0.052,0.222,0.171,0.8,0.840,19.5,0.909,75.00,STABLE / OPEN,0.00,1.48,0.000,0.817,57,0,47,0,0,0,0.0,0.0,49.3,16.3,15.3,15.0,0,0,100,
86,0104,3/25/2022 3:18:58 PM ,4307,20.908,20.697,0.210,1.0,3626,0.052,0.235,0.183,0.8,0.842,20.9,0.911,75.00,STABLE / OPEN,0.00,1.48,0.000,0.817,31,1,8,0,0,0,0.0,0.0,49.4,16.3,15.7,15.0,0,0,100,
87,0104,3/25/2022 3:24:38 PM ,4452,20.908,20.691,0.217,1.0,3662,0.052,0.237,0.185,0.9,0.822,21.5,0.910,75.00,STABLE / OPEN,0.00,1.48,0.000,0.817,48,4,88,2,0,0,0.0,0.0,49.3,16.3,15.7,15.0,0,0,100,
88,0104,3/25/2022 3:30:18 PM ,5131,20.908,20.657,0.251,1.1,4341,0.051,0.270,0.219,0.9,0.846,24.9,0.911,75.00,UNSTABLE / OPEN,0.00,1.48,0.000,0.817,10,3,203,13,5,0,0.0,0.0,49.8,16.3,15.7,15.0,0,0,100,
89,0104,3/25/2022 3:35:58 PM ,5090,20.908,20.659,0.249,1.1,4297,0.051,0.269,0.217,0.9,0.844,24.7,0.910,75.00,STABLE / OPEN,0.09,1.57,0.000,0.817,207,46,228,93,1,0,0.0,0.0,49.8,16.3,15.4,15.0,0,0,100,
90,0104,3/25/2022 3:41:38 PM ,4540,20.908,20.685,0.223,1.1,3831,0.052,0.246,0.194,0.9,0.844,22.0,0.908,75.00,STABLE / OPEN,0.00,1.57,0.000,0.817,242,0,37,0,0,0,0.0,0.0,49.5,16.3,15.4,15.0,0,0,100,
